Phase,Setpoint_kPa,Length_mm,Std_mm,n_samples
Extension,100,165.14,0.012,30
Extension,110,164.24,0.006,30
Extension,120,161.51,0.286,28
Extension,130,161.46,0.005,34
Extension,140,156.51,0.096,28
Extension,150,154.31,0.151,33
Extension,160,152.11,0.204,26
Extension,170,150.14,0.121,30
Extension,180,148.46,0.109,24
Extension,190,147.34,0.146,28
Extension,200,146.19,0.106,32
Extension,210,144.78,0.086,36
Extension,220,143.58,0.065,30
Retraction,220,143.47,0.05,27
Retraction,210,144.63,0.094,31
Retraction,200,145.88,0.09,29
Retraction,190,147.29,0.1,24
Retraction,180,148.38,0.028,29
Retraction,170,149.92,0.091,19
Retraction,160,152.03,0.046,27
Retraction,150,154.22,0.048,30
Retraction,140,157.07,0.026,29
Retraction,130,157.69,0.005,28
Retraction,120,162.36,0.059,28
Retraction,110,163.78,0.025,31
Retraction,100,164.97,0.019,25
