Phase,Setpoint_kPa,Length_mm,Std_mm,n_samples
Extension,100,165.48,0.044,20
Extension,110,164.62,0.007,29
Extension,120,161.92,0.012,28
Extension,130,161.94,0.008,32
Extension,140,158.08,0.125,44
Extension,150,155.37,0.014,26
Extension,160,153.01,0.048,37
Extension,170,150.87,0.056,35
Extension,180,149.03,0.087,30
Extension,190,147.48,0.035,36
Extension,200,146.01,0.099,34
Extension,210,144.91,0.086,35
Extension,220,143.96,0.103,30
Retraction,220,143.71,0.017,30
Retraction,210,145.28,0.076,36
Retraction,200,146.41,0.077,36
Retraction,190,147.78,0.01,33
Retraction,180,148.68,0.058,31
Retraction,170,150.62,0.018,31
Retraction,160,152.6,0.055,36
Retraction,150,155.01,0.064,38
Retraction,140,157.73,0.03,32
Retraction,130,160.63,0.042,26
Retraction,120,162.57,0.11,34
Retraction,110,165.4,0.01,33
Retraction,100,166.62,0.007,35
