Time_s,Length_mm,Pressure_kPa
1.0,160.47,0.0
2.0,160.47,0.0
3.1,160.47,0.0
4.1,160.48,0.0
5.1,160.49,0.0
6.2,160.49,0.0
7.2,160.48,0.0
8.2,160.46,0.0
9.2,160.45,0.0
10.3,160.44,0.0
11.3,160.43,0.0
12.3,160.44,0.0
13.3,160.45,0.0
14.4,160.45,0.0
15.4,160.46,0.0
16.5,160.46,0.0
17.5,160.47,0.0
18.6,160.47,0.0
19.6,160.47,0.0
20.6,160.47,0.0
21.6,160.48,0.0
22.7,160.49,0.0
23.7,160.48,0.0
24.7,160.46,0.0
25.7,160.45,0.0
26.7,160.44,0.0
27.7,160.45,0.0
28.8,160.45,0.0
29.8,160.45,0.0
30.8,160.45,16.9
31.8,160.46,20.0
32.8,160.46,20.0
33.8,160.48,20.0
34.9,160.49,20.0
35.9,160.5,20.0
36.9,160.48,20.0
37.9,160.47,20.0
38.9,160.47,20.0
40.0,160.48,20.0
41.0,160.49,20.0
42.0,160.5,20.0
43.0,160.49,20.0
44.0,160.48,20.0
45.0,160.48,20.0
46.1,160.49,20.0
47.1,160.5,20.0
48.1,160.5,20.0
49.1,160.49,20.0
50.2,160.49,20.0
51.2,160.49,20.0
52.2,160.5,20.0
53.2,160.49,20.0
54.2,160.49,20.0
55.2,160.5,20.0
56.2,160.49,20.0
57.2,160.48,20.0
58.3,160.46,20.0
59.3,160.46,20.0
60.3,160.47,9.7
61.3,160.47,0.0
62.3,160.47,0.0
63.3,160.48,0.0
64.3,160.48,0.0
65.4,160.48,0.0
66.4,160.48,0.0
67.4,160.48,0.0
68.5,160.47,0.0
69.5,160.48,0.0
70.5,160.49,0.0
71.6,160.5,0.0
72.6,160.49,0.0
73.6,160.47,0.0
74.6,160.47,0.0
75.7,160.48,0.0
76.7,160.49,0.0
77.7,160.49,0.0
78.7,160.49,0.0
79.7,160.49,0.0
80.7,160.49,0.0
81.8,160.48,0.0
82.8,160.47,0.0
83.8,160.46,0.0
84.8,160.47,0.0
85.8,160.49,0.0
86.9,160.49,0.0
87.9,160.5,0.0
88.9,160.49,0.0
89.9,160.49,0.0
91.0,160.49,21.6
92.0,160.5,30.0
93.0,160.51,30.0
94.1,160.5,30.0
95.1,160.5,30.0
96.1,160.5,30.0
97.1,160.51,30.0
98.1,160.52,30.0
99.1,160.53,30.0
100.2,160.54,30.0
101.2,160.52,30.0
102.3,160.53,30.0
103.3,160.52,30.0
104.3,160.52,30.0
105.3,160.52,30.0
106.3,160.52,30.0
107.3,160.52,30.0
108.4,160.51,30.0
109.4,160.5,30.0
110.4,160.5,30.0
111.4,160.49,30.0
112.4,160.49,30.0
113.4,160.5,30.0
114.4,160.51,30.0
115.5,160.51,30.0
116.5,160.51,30.0
117.5,160.5,30.0
118.5,160.5,30.0
119.5,160.51,30.0
120.6,160.53,24.4
121.6,160.54,0.0
122.6,160.53,0.0
123.6,160.52,0.0
124.6,160.51,0.0
125.6,160.53,0.0
126.7,160.54,0.0
127.7,160.54,0.0
128.7,160.52,0.0
129.8,160.51,0.0
130.8,160.5,0.0
131.9,160.48,0.0
132.9,160.47,0.0
133.9,160.47,0.0
134.9,160.48,0.0
135.9,160.49,0.0
136.9,160.5,0.0
137.9,160.5,0.0
139.0,160.5,0.0
140.0,160.5,0.0
141.0,160.5,0.0
142.1,160.5,0.0
143.1,160.5,0.0
144.1,160.5,0.0
145.1,160.5,0.0
146.1,160.5,0.0
147.1,160.49,0.0
148.2,160.47,0.0
149.2,160.47,0.0
150.2,160.47,0.0
151.3,160.49,1.4
152.3,160.5,40.0
153.3,160.51,40.0
154.3,160.52,40.0
155.3,160.51,40.0
156.3,160.52,40.0
157.3,160.5,40.0
158.4,160.5,40.0
159.4,160.5,40.0
160.4,160.52,40.0
161.4,160.53,40.0
162.4,160.54,40.0
163.5,160.52,40.0
164.5,160.52,40.0
165.5,160.51,40.0
166.5,160.52,40.0
167.6,160.52,40.0
168.6,160.53,40.0
169.6,160.52,40.0
170.6,160.51,40.0
171.6,160.49,40.0
172.6,160.5,40.0
173.6,160.49,40.0
174.7,160.5,40.0
175.7,160.51,40.0
176.7,160.51,40.0
177.8,160.52,40.0
178.8,160.53,40.0
179.8,160.55,40.0
180.8,160.54,14.3
181.8,160.52,0.0
182.9,160.5,0.0
183.9,160.5,0.0
184.9,160.5,0.0
185.9,160.49,0.0
186.9,160.49,0.0
188.0,160.48,0.0
189.0,160.48,0.0
190.0,160.48,0.0
191.1,160.48,0.0
192.1,160.48,0.0
193.1,160.48,0.0
194.1,160.48,0.0
195.1,160.48,0.0
196.1,160.48,0.0
197.1,160.49,0.0
198.1,160.5,0.0
199.2,160.5,0.0
200.2,160.5,0.0
201.2,160.5,0.0
202.2,160.49,0.0
203.3,160.49,0.0
204.3,160.5,0.0
205.3,160.49,0.0
206.3,160.49,0.0
207.3,160.48,0.0
208.3,160.48,0.0
209.4,160.49,0.0
210.4,160.5,19.0
211.4,160.52,50.0
212.5,160.54,50.0
213.5,160.55,50.0
214.5,160.53,50.0
215.5,160.52,50.0
216.6,160.5,50.0
217.6,160.52,50.0
218.6,160.52,50.0
219.6,160.53,50.0
220.7,160.52,50.0
221.7,160.53,50.0
