Phase,Setpoint_kPa,Length_mm,Std_mm,n_samples
Extension,100,162.26,0.005,39
Extension,110,161.88,0.083,36
Extension,120,160.61,0.071,32
Extension,130,158.39,0.052,42
Extension,140,154.41,0.206,39
Extension,150,152.53,0.198,42
Extension,160,150.95,0.104,40
Extension,170,148.62,0.154,47
Extension,180,146.67,0.132,34
Extension,190,145.96,0.051,38
Extension,200,143.99,0.058,37
Extension,210,142.42,0.087,35
Extension,220,141.08,0.147,40
Retraction,220,141.3,0.046,46
Retraction,210,142.12,0.077,45
Retraction,200,143.08,0.076,46
Retraction,190,144.75,0.079,45
Retraction,180,145.62,0.134,42
Retraction,170,147.64,0.02,28
Retraction,160,149.76,0.012,34
Retraction,150,151.91,0.012,39
Retraction,140,154.73,0.016,36
Retraction,130,157.71,0.016,29
Retraction,120,159.85,0.047,36
Retraction,110,162.59,0.047,45
Retraction,100,163.92,0.009,43
