Phase,Setpoint_kPa,Length_mm,Std_mm,n_samples
Extension,100,164.65,0.012,23
Extension,110,163.3,0.019,24
Extension,120,160.8,0.016,26
Extension,130,160.89,0.014,25
Extension,140,156.9,0.202,29
Extension,150,154.42,0.042,37
Extension,160,152.06,0.036,29
Extension,170,150.16,0.093,38
Extension,180,148.28,0.025,27
Extension,190,146.6,0.007,31
Extension,200,145.23,0.064,34
Extension,210,144.22,0.052,33
Extension,220,143.48,0.136,27
Retraction,220,143.15,0.046,31
Retraction,210,144.54,0.023,33
Retraction,200,145.6,0.084,31
Retraction,190,147.32,0.043,31
Retraction,180,148.03,0.072,32
Retraction,170,149.92,0.069,28
Retraction,160,151.75,0.008,36
Retraction,150,154.06,0.109,33
Retraction,140,156.73,0.019,32
Retraction,130,159.71,0.07,34
Retraction,120,162.12,0.052,32
Retraction,110,165.19,0.061,33
Retraction,100,166.25,0.015,39
